,text,tag,paragraph,article,num_words,num_sentences
0,NOCD Support Groups: Finding Help and Hope in the OCD Community,h1,title,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,11,1
1,"One of the most helpful things in my own recovery journey has been hearing about other people’s experiences with OCD. This might be because we relish in stories of triumph and are drawn toward people with shared experiences. I think this is true for many things in life. Personally, I learn and grow from these stories.",p,,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,56,5
2,"There is something powerful about knowing that someone else has walked the same path as you and that they have not only survived it, but possibly even thrived. I love hearing about the determination and grit of others who have faced similar obstacles. These stories of hope often inspired me to keep going, even when I didn’t think I could. ",p,,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,60,4
3,"Support is a key piece of your recovery journey. That’s why at NOCD, we provide a safe space for people in the OCD community and their families to share their experiences in our virtual support groups, which are available to members doing exposure and response prevention (ERP) therapy with NOCD Therapy. There are over 25 different groups to join, with sessions nearly every day of the week, dealing with themes ranging from living with OCD to relapse prevention.",p,,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,78,4
4,You are not alone,h2,You are not alone,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,4,1
5,"Support groups may help you realize that you are not alone. Many people have struggled with OCD for so long without proper treatment, going from therapist to therapist in hopes of finding relief, unable to get the specialized treatment needed to manage OCD. It’s often by hearing about other people’s experiences with successful treatment that they are able to learn about ERP therapy and finally get the help they need. And during treatment, support from others can help people keep going when things get challenging.  ",p,You are not alone,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,85,5
6,"This is one of the main reasons I continue to share my story: I want others to know that life can look very different from what it does in the throes of OCD. It may not seem like it at the moment, but there is hope after OCD—and you can live a life you may never have imagined. Similarly, support groups can provide a non-judgmental place where you can learn from others and healthily express your emotions.",p,You are not alone,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,77,4
7,"These support systems can normalize your experiences and reduce the shame and guilt often experienced by people with OCD and other mental illnesses. You can lean on others for their support and backing, and they can provide encouragement and help you recognize improvements that you may not realize you’ve made. This can provide a sense of control over your life, as you get to decide how to share your story. ",p,You are not alone,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,70,4
8,Giving and getting support,h2,Giving and getting support,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,4,1
9,"Participating in a support group may seem scary at first; after all, you may be sharing your struggles and thoughts with others. However, vulnerability in sharing your experiences can often have a tremendous impact on your life and in the lives of others. For example, sharing my story helps others see a glimpse into what recovery can look like and provide hope; but in turn, I can also look back at my journey and am reminded daily of how far I’ve come. This helps to me stay on track—I know the things that I need to do to stay healthy and to remain in recovery with my OCD. ",p,Giving and getting support,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,108,5
10,"Sharing keeps me accountable and reminds me of the powerful tools I have learned and the importance of using them on a daily basis. I have found that being vulnerable also helps with the shame aspect of OCD: when I share my personal struggle and give it a voice, it takes the shameful feelings away each time, bit by bit. That’s because when you talk about something out loud, it can take away its power. Since you are choosing to share, you are in essence choosing freedom over fear.",p,Giving and getting support,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,89,5
